ZIP_Code_of_Residence,Year_of_Birth,Annual_Births_By_Zip,LBW_Count,LBW_rate
90065,2018,485.5,36.5,7.518022657054583
90065,2019,455.5,38.5,8.45225027442371
90065,2020,433.0,26.0,6.0046189376443415
90065,2021,398.0,26.0,6.532663316582915
90065,2022,421.5,19.5,4.6263345195729535
90066,2018,575.0,34.0,5.913043478260869
90066,2019,560.5,36.5,6.512042818911685
90066,2020,503.5,38.5,7.646474677259185
90066,2021,520.5,41.5,7.973102785782901
90066,2022,487.5,40.5,8.307692307692308
90067,2018,27.5,5.5,20.0
90067,2019,22.0,5.5,25.0
90067,2020,33.0,5.5,16.666666666666664
90067,2021,22.0,5.5,25.0
90067,2022,33.0,5.5,16.666666666666664
90068,2018,187.5,5.5,2.933333333333333
90068,2019,171.5,16.5,9.620991253644315
90068,2020,166.5,11.0,6.606606606606606
90068,2021,227.0,22.0,9.691629955947137
90068,2022,153.5,16.5,10.749185667752444
90069,2018,154.0,16.5,10.714285714285714
90069,2019,147.5,16.5,11.186440677966102
90069,2020,135.5,11.0,8.118081180811808
90069,2021,121.5,11.0,9.053497942386832
90069,2022,115.5,11.0,9.523809523809524
90071,2018,0.0,0.0,
90071,2019,0.0,0.0,
90071,2020,5.5,0.0,0.0
90071,2021,11.0,0.0,0.0
90071,2022,16.5,0.0,0.0
90073,2018,0.0,0.0,
90073,2019,0.0,0.0,
90073,2020,5.5,0.0,0.0
90073,2021,0.0,0.0,
90073,2022,0.0,0.0,
90077,2018,80.5,11.0,13.664596273291925
90077,2019,72.0,16.5,22.916666666666664
90077,2020,60.5,5.5,9.090909090909092
90077,2021,83.0,5.5,6.626506024096386
90077,2022,72.5,11.0,15.172413793103448
90089,2018,11.0,0.0,0.0
90089,2019,5.5,0.0,0.0
90089,2020,5.5,5.5,100.0
90089,2021,5.5,0.0,0.0
90089,2022,11.0,0.0,0.0
90090,2018,5.5,0.0,0.0
90090,2019,0.0,0.0,
90090,2020,0.0,0.0,
90090,2021,0.0,0.0,
90090,2022,0.0,0.0,
90094,2018,199.5,28.5,14.285714285714285
90094,2019,187.0,11.0,5.88235294117647
90094,2020,180.5,16.5,9.141274238227147
90094,2021,186.5,11.0,5.898123324396782
90094,2022,158.5,22.0,13.880126182965299
90095,2018,5.5,0.0,0.0
90095,2019,0.0,0.0,
90095,2020,0.0,0.0,
90095,2021,5.5,5.5,100.0
90095,2022,0.0,0.0,
90201,2018,1180.0,96.0,8.135593220338983
90201,2019,1141.0,72.0,6.310254163014899
90201,2020,1049.5,52.5,5.002382086707956
90201,2021,1035.0,70.0,6.763285024154589
90201,2022,1031.0,75.0,7.274490785645005
90210,2018,169.5,22.0,12.979351032448378
90210,2019,164.5,16.5,10.030395136778116
90210,2020,150.5,22.0,14.61794019933555
90210,2021,155.0,5.5,3.5483870967741935
90210,2022,146.0,11.0,7.534246575342466
90211,2018,75.0,5.5,7.333333333333333
90211,2019,107.5,11.0,10.232558139534884
90211,2020,93.5,22.0,23.52941176470588
90211,2021,82.0,5.5,6.707317073170732
90211,2022,83.0,5.5,6.626506024096386
90212,2018,109.0,16.5,15.137614678899084
90212,2019,124.0,16.5,13.306451612903224
90212,2020,93.0,5.5,5.913978494623656
90212,2021,82.5,11.0,13.333333333333334
90212,2022,100.0,16.5,16.5
90220,2018,720.0,51.0,7.083333333333333
90220,2019,698.0,60.0,8.595988538681947
90220,2020,628.0,50.0,7.961783439490445
90220,2021,614.5,42.5,6.91619202603743
90220,2022,599.0,58.0,9.68280467445743
90221,2018,829.5,38.5,4.641350210970464
90221,2019,790.0,63.0,7.974683544303797
90221,2020,725.0,56.0,7.724137931034483
90221,2021,675.0,57.0,8.444444444444445
90221,2022,698.0,48.0,6.876790830945559
90222,2018,489.0,52.0,10.633946830265849
90222,2019,500.5,44.5,8.89110889110889
90222,2020,463.5,47.5,10.248112189859762
90222,2021,416.5,42.5,10.204081632653061
90222,2022,442.0,30.0,6.787330316742081
90230,2018,350.0,28.0,8.0
90230,2019,287.0,23.0,8.013937282229964
90230,2020,303.0,22.0,7.2607260726072615
90230,2021,285.0,23.0,8.070175438596491
90230,2022,275.5,20.5,7.441016333938294
90232,2018,174.0,11.0,6.321839080459771
90232,2019,169.0,22.0,13.017751479289942
90232,2020,166.5,11.0,6.606606606606606
90232,2021,145.0,11.0,7.586206896551724
90232,2022,137.0,16.5,12.043795620437956
90401,2018,75.5,11.0,14.56953642384106
90401,2019,57.0,11.0,19.298245614035086
90401,2020,48.0,0.0,0.0
90401,2021,53.0,11.0,20.754716981132077
90401,2022,60.5,11.0,18.181818181818183
90402,2018,98.5,11.0,11.16751269035533
90402,2019,95.5,11.0,11.518324607329843
90402,2020,76.5,11.0,14.37908496732026
90402,2021,77.5,11.0,14.193548387096774
90402,2022,71.5,5.5,7.6923076923076925
90403,2018,267.0,26.0,9.737827715355806
90403,2019,280.0,22.0,7.857142857142857
90403,2020,215.5,16.5,7.65661252900232
90403,2021,202.5,11.0,5.432098765432099
90403,2022,206.5,16.5,7.990314769975787
90404,2018,180.5,16.5,9.141274238227147
90404,2019,186.0,11.0,5.913978494623656
90404,2020,201.5,24.0,11.910669975186105
90404,2021,197.0,22.0,11.16751269035533
90404,2022,175.5,16.5,9.401709401709402
90405,2018,234.5,16.5,7.036247334754798
90405,2019,247.5,16.5,6.666666666666667
90405,2020,236.0,11.0,4.661016949152542
90405,2021,244.5,16.5,6.748466257668712
90405,2022,196.0,22.0,11.224489795918368
90501,2018,477.5,32.5,6.806282722513089
90501,2019,480.5,36.5,7.596253902185223
90501,2020,461.5,40.5,8.775731310942579
90501,2021,461.5,45.5,9.859154929577464
90501,2022,469.5,37.5,7.987220447284344
90502,2018,162.0,16.5,10.185185185185185
90502,2019,165.5,16.5,9.969788519637463
90502,2020,189.5,16.5,8.70712401055409
90502,2021,161.5,16.5,10.21671826625387
90502,2022,148.5,11.0,7.4074074074074066
90503,2018,418.0,33.0,7.894736842105263
90503,2019,408.5,44.5,10.893512851897185
90503,2020,367.5,36.5,9.931972789115646
90503,2021,360.0,31.0,8.61111111111111
90503,2022,394.5,30.5,7.731305449936629
90504,2018,299.5,32.5,10.851419031719532
90504,2019,294.5,19.5,6.621392190152801
90504,2020,279.5,27.5,9.838998211091235
90504,2021,281.5,33.5,11.900532859680284
90504,2022,274.5,29.5,10.746812386156648
90505,2018,335.0,22.0,6.567164179104477
90505,2019,306.5,34.5,11.256117455138662
90505,2020,284.5,16.5,5.799648506151142
90505,2021,293.5,27.5,9.369676320272573
90505,2022,316.0,22.0,6.962025316455696
90506,2018,5.5,0.0,0.0
90506,2019,0.0,0.0,
90506,2020,0.0,0.0,
90506,2021,5.5,0.0,0.0
90506,2022,0.0,0.0,
90601,2018,348.0,26.0,7.471264367816093
90601,2019,352.5,36.5,10.354609929078014
90601,2020,314.5,31.5,10.01589825119237
90601,2021,347.0,23.0,6.628242074927954
90601,2022,319.5,45.5,14.241001564945227
90602,2018,306.5,30.5,9.9510603588907
90602,2019,289.5,16.5,5.699481865284974
90602,2020,298.0,22.0,7.38255033557047
90602,2021,296.5,30.5,10.286677908937605
90602,2022,293.0,28.0,9.556313993174061
90603,2018,218.5,16.5,7.551487414187644
90603,2019,200.5,16.5,8.229426433915211
90603,2020,194.5,28.5,14.652956298200515
90603,2021,182.0,11.0,6.043956043956044
90603,2022,207.0,11.0,5.314009661835748
90604,2018,439.0,36.0,8.200455580865604
90604,2019,460.5,36.5,7.926167209554831
90604,2020,430.0,29.0,6.744186046511628
90604,2021,454.5,42.5,9.350935093509351
90604,2022,421.0,32.0,7.600950118764846
90605,2018,448.5,44.5,9.92196209587514
90605,2019,447.5,27.5,6.145251396648044
90605,2020,365.5,16.5,4.514363885088919
90605,2021,419.5,32.5,7.747318235995232
90605,2022,431.0,33.0,7.65661252900232
90606,2018,377.5,35.5,9.403973509933774
90606,2019,348.5,28.5,8.17790530846485
90606,2020,364.0,27.0,7.417582417582418
90606,2021,336.5,36.5,10.846953937592868
90606,2022,323.0,22.0,6.811145510835913
90623,2018,122.0,19.5,15.983606557377051
90623,2019,129.5,11.0,8.494208494208493
90623,2020,119.0,16.5,13.865546218487395
90623,2021,116.5,22.0,18.88412017167382
90623,2022,123.5,22.0,17.813765182186234
90630,2018,418.5,31.5,7.526881720430108
90630,2019,380.5,37.5,9.85545335085414
90630,2020,387.0,24.0,6.2015503875969
90630,2021,427.5,28.5,6.666666666666667
90630,2022,356.0,29.0,8.146067415730338
90631,2018,769.5,54.5,7.082521117608836
90631,2019,765.0,57.0,7.450980392156863
90631,2020,746.5,37.5,5.023442732752847
90631,2021,660.5,37.5,5.677517032551098
90631,2022,733.5,55.5,7.566462167689162
90638,2018,389.5,33.5,8.600770218228499
90638,2019,382.5,40.5,10.588235294117647
90638,2020,394.5,34.5,8.745247148288973
90638,2021,350.0,22.0,6.2857142857142865
90638,2022,366.5,41.5,11.323328785811732
90639,2018,0.0,0.0,
90639,2019,0.0,0.0,
90639,2020,5.5,0.0,0.0
90639,2021,11.0,0.0,0.0
90639,2022,11.0,5.5,50.0
90640,2018,662.5,44.5,6.716981132075471
90640,2019,624.5,48.5,7.766212970376301
90640,2020,647.5,55.5,8.571428571428571
90640,2021,577.5,49.5,8.571428571428571
90640,2022,616.5,38.5,6.244931062449311
90650,2018,1162.0,70.0,6.024096385542169
90650,2019,1104.5,70.5,6.382978723404255
90650,2020,1009.5,62.5,6.191183754333829
90650,2021,1048.5,77.5,7.391511683357177
90650,2022,981.0,70.0,7.135575942915392
90660,2018,608.5,44.5,7.313064913722268
90660,2019,676.5,43.5,6.430155210643015
90660,2020,565.5,34.5,6.10079575596817
90660,2021,627.5,40.5,6.454183266932271
90660,2022,570.5,45.5,7.975460122699387
90670,2018,225.0,22.0,9.777777777777779
90670,2019,209.0,22.0,10.526315789473683
90670,2020,163.5,16.5,10.091743119266056
90670,2021,162.5,22.0,13.538461538461538
90670,2022,173.5,22.0,12.680115273775217
90701,2018,156.5,22.0,14.057507987220447
90701,2019,162.0,28.5,17.59259259259259
90701,2020,168.0,11.0,6.547619047619048
90701,2021,146.0,16.5,11.301369863013697
90701,2022,153.0,16.5,10.784313725490197
90703,2018,337.5,34.5,10.222222222222223
90703,2019,349.5,37.5,10.72961373390558
90703,2020,301.0,32.0,10.631229235880399
90703,2021,322.5,29.5,9.147286821705427
90703,2022,297.5,31.5,10.588235294117647
90704,2018,46.5,5.5,11.827956989247312
90704,2019,34.0,5.5,16.176470588235293
90704,2020,38.0,5.5,14.473684210526317
90704,2021,38.5,11.0,28.57142857142857
90704,2022,28.5,0.0,0.0
90706,2018,944.5,56.5,5.9820010587612495
90706,2019,967.0,68.0,7.0320579110651495
90706,2020,856.0,65.0,7.593457943925233
90706,2021,815.5,51.5,6.315144083384426
90706,2022,817.5,54.5,6.666666666666667
90710,2018,290.5,29.5,10.154905335628227
90710,2019,261.0,22.0,8.42911877394636
90710,2020,271.0,29.0,10.70110701107011
90710,2021,256.0,24.0,9.375
90710,2022,248.0,24.0,9.67741935483871
90712,2018,385.0,23.0,5.974025974025974
90712,2019,395.0,26.0,6.582278481012659
90712,2020,362.0,22.0,6.077348066298343
90712,2021,334.5,27.5,8.221225710014949
90712,2022,339.5,29.5,8.689248895434462
90713,2018,296.5,30.5,10.286677908937605
90713,2019,294.0,22.0,7.482993197278912
90713,2020,285.5,16.5,5.779334500875657
90713,2021,295.0,22.0,7.457627118644068
90713,2022,304.0,34.0,11.18421052631579
90714,2018,0.0,0.0,
90714,2019,11.0,0.0,0.0
90714,2020,0.0,0.0,
90714,2021,5.5,0.0,0.0
90714,2022,11.0,0.0,0.0
90715,2018,221.5,16.5,7.44920993227991
90715,2019,212.0,22.0,10.377358490566039
90715,2020,214.0,11.0,5.14018691588785
90715,2021,238.0,22.0,9.243697478991598
90715,2022,212.5,31.5,14.823529411764705
90716,2018,199.5,16.5,8.270676691729323
90716,2019,167.5,22.0,13.134328358208954
90716,2020,196.0,22.0,11.224489795918368
90716,2021,144.0,11.0,7.638888888888889
90716,2022,160.0,22.0,13.750000000000002
90717,2018,248.0,11.0,4.435483870967742
90717,2019,241.0,22.0,9.12863070539419
90717,2020,244.5,16.5,6.748466257668712
90717,2021,244.0,22.0,9.01639344262295
90717,2022,235.0,11.0,4.680851063829787
90723,2018,702.5,46.5,6.619217081850534
90723,2019,725.0,66.0,9.10344827586207
90723,2020,623.5,37.5,6.014434643143544
90723,2021,593.5,40.5,6.823925863521482
90723,2022,607.5,39.5,6.502057613168724
90732,2018,166.5,16.5,9.90990990990991
90732,2019,193.5,27.5,14.21188630490956
90732,2020,199.0,22.0,11.055276381909549
90732,2021,195.5,16.5,8.439897698209718
90732,2022,181.0,17.5,9.668508287292818
90802,2018,385.5,29.5,7.652399481193256
90802,2019,418.5,35.5,8.482676224611708
90802,2020,336.0,22.0,6.547619047619048
90802,2021,363.5,29.5,8.11554332874828
90802,2022,358.5,36.5,10.181311018131103
90803,2018,273.5,16.5,6.032906764168191
90803,2019,217.0,11.0,5.0691244239631335
90803,2020,213.0,24.0,11.267605633802818
90803,2021,236.0,22.0,9.322033898305085
90803,2022,230.5,16.5,7.158351409978309
90813,2018,753.0,57.0,7.569721115537849
90813,2019,718.0,58.0,8.07799442896936
90813,2020,697.5,54.5,7.813620071684587
90813,2021,668.0,64.0,9.580838323353294
90813,2022,601.5,50.5,8.395677472984206
90814,2018,178.0,11.0,6.179775280898876
90814,2019,201.5,16.5,8.188585607940446
90814,2020,165.5,5.5,3.3232628398791544
90814,2021,172.5,22.0,12.753623188405797
90814,2022,179.5,16.5,9.192200557103064
90815,2018,365.0,24.0,6.575342465753424
90815,2019,369.0,22.0,5.9620596205962055
90815,2020,338.5,30.5,9.010339734121123
90815,2021,372.0,32.0,8.60215053763441
90815,2022,393.5,32.5,8.259212198221093
90822,2018,0.0,0.0,
90822,2019,0.0,0.0,
90822,2020,0.0,0.0,
90822,2021,0.0,0.0,
90822,2022,0.0,0.0,
90831,2018,0.0,0.0,
90831,2019,0.0,0.0,
90831,2020,5.5,5.5,100.0
90831,2021,0.0,0.0,
90831,2022,0.0,0.0,
90840,2018,0.0,0.0,
90840,2019,0.0,0.0,
90840,2020,0.0,0.0,
90840,2021,0.0,0.0,
90840,2022,0.0,0.0,
90846,2018,0.0,0.0,
90846,2019,0.0,0.0,
90846,2020,0.0,0.0,
90846,2021,0.0,0.0,
90846,2022,0.0,0.0,
91001,2018,314.5,24.5,7.790143084260731
91001,2019,330.5,38.5,11.649016641452345
91001,2020,268.5,16.5,6.145251396648044
91001,2021,292.5,28.5,9.743589743589745
91001,2022,283.0,22.0,7.773851590106007
91006,2018,318.5,20.5,6.436420722135009
91006,2019,337.0,11.0,3.2640949554896146
91006,2020,248.0,11.0,4.435483870967742
91006,2021,223.0,22.0,9.865470852017937
91006,2022,234.0,16.5,7.051282051282051
91007,2018,440.0,34.0,7.727272727272727
91007,2019,499.5,38.5,7.707707707707708
91007,2020,291.5,16.5,5.660377358490567
91007,2021,272.5,16.5,6.055045871559633
91007,2022,292.5,35.5,12.136752136752136
91008,2018,22.0,5.5,25.0
91008,2019,22.0,0.0,0.0
