ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,log_median_household_income
90606,1749.5,149.5,8.545298656759075,84.22342054485985,0.9586531820965868,44.85615518549008,1.1623475623901325,0.589751729633765,0.7275,0.5936,0.5591,0.9184,0.8019,8645,6056,31520,12.5,0.7005205320994795,11.88321720213135,0.2740486174606678,0.013021408077687044,0.033767380269256235,0.8605794999527068,11.369008904107321
90623,610.5,91.0,14.905814905814909,74.37285898764922,0.7843657655551347,37.748848175156326,0.901116948667615,0.4797259298725122,0.4766,0.2965,0.511,0.7779,0.5058,5045,3374,15414,32.8,0.668780971258672,6.0315195537972635,0.31707633439263244,0.04844672157727479,0.49750308061482584,0.19689992865944614,11.6084901578379
90630,1969.5,150.5,7.641533384107642,80.67814094213011,0.8192711637633103,37.89355192442283,0.8938960179647638,0.6214128142085191,0.4854,0.317,0.5521,0.6759,0.5098,16137,10842,50079,31.2,0.6718720951849786,7.169623280845126,0.40990631851704207,0.033306757026111224,0.37331074347219456,0.2035080725533187,11.675129344845082
90631,3675.0,242.0,6.585034013605442,58.77215600284106,0.6817800301504888,39.45320096391334,0.9091795851799208,0.3056823844244246,0.7351,0.6018,0.5718,0.7394,0.8696,22289,13384,68776,19.7,0.6004755709094172,9.233464612533302,0.4559683771574192,0.02021313564230279,0.12612938723502837,0.5664311363373103,11.492814590170669
90638,1883.0,172.0,9.134360063728094,75.29313587932621,0.7950030638849587,41.24829214952885,0.9932456414643503,0.4288488690239139,0.5374,0.2643,0.6379,0.7371,0.657,14908,11360,45867,25.9,0.762006976120204,6.010396361273554,0.4211825860948668,0.014489928525016245,0.2176954732510288,0.46781459822395494,11.553241731631704
90640,3128.5,236.5,7.559533322678599,84.15564299286659,0.9978108209909576,46.505422694573966,1.2837348475083483,0.6683782872406044,0.924,0.8228,0.9264,0.9405,0.8598,19348,8982,61859,15.0,0.4642340293570395,12.837512441005556,0.31001380550293767,0.008813047805567149,0.13620894468167077,0.7814075191832279,11.186682728151698
90650,5305.5,350.5,6.606351898972764,85.5870021767554,0.987675740787326,41.71107097470913,1.0448000575115932,0.6068518336660141,0.776,0.6608,0.6622,0.8992,0.8227,26508,17929,100749,15.2,0.6763618530255018,8.9397252483257,0.27396722983242305,0.045380112371669785,0.13424786484021847,0.6936548248237452,11.421456896718093
90660,3048.5,208.5,6.839429227488929,72.93598268939722,0.9637150710785944,45.24624336856871,1.1860651328685026,0.6284611529108899,0.7661,0.6585,0.5377,0.9569,0.8499,16665,11477,61133,10.7,0.6886888688868887,9.442666623349199,0.308084663991813,0.010233751888370885,0.03510339338217378,0.9045012264258215,11.321026187895164
90670,933.5,104.5,11.194429566148902,89.83775471004907,0.9648341483861236,44.80449541787458,1.0953079291455692,0.5681589628985025,0.683,0.483,0.5406,0.898,0.8001,5345,3436,17506,15.8,0.642843779232928,9.92822966507177,0.30952380952380953,0.025974025974025976,0.08304853041695147,0.7377534745955798,11.329711510107538
90701,785.5,94.5,12.030553787396563,78.82069931634182,0.8242115839456124,39.413765016303,0.9445221966994606,0.5466144001904181,0.7994,0.786,0.5267,0.8504,0.8349,4484,2323,15802,21.7,0.518064228367529,7.119541787275975,0.20490238344521772,0.041633306645316254,0.4207057954055552,0.3530208782410544,11.43714532629424
